Hora,Temperatura,Humedad
12:28:00,23.0,68.8
12:29:02,23.0,68.8
12:30:03,23.0,68.6
12:31:04,23.0,68.6
12:32:00,23.0,68.6
12:33:02,23.0,68.6
12:34:03,23.1,68.7
12:35:04,23.1,68.4
12:36:01,23.1,68.3
12:37:02,23.1,68.3
12:38:03,23.1,68.3
12:39:04,23.1,68.1
12:40:01,23.1,68.3
12:41:02,23.1,68.3
12:42:03,23.1,68.2
12:43:04,23.1,68.3
12:44:00,23.0,68.4
12:45:02,23.0,68.5
12:46:03,23.0,68.7
12:47:04,23.0,68.8
12:48:01,23.0,68.8
12:49:02,22.9,68.9
12:50:03,22.9,68.9
12:51:00,22.9,69.0
12:52:01,22.8,69.0
12:53:02,22.8,69.1
12:54:03,22.9,69.1
12:55:00,22.9,69.3
